ID,Title,Content
,"Causing disappearance of evidence of offence, or giving false information to screen offender- if a capital offence; if punishable with imprisonment for life; if punishable with less than ten years’ imprisonment ","Whoever, knowing or having reason to believe that an offence has been committed, causes any evidence of the commission of that offence to disappear, with the intention of screening the offender from legal punishment, or with that intention gives any information respecting the offence which he knows or believes to be false,
 
 
shall, if the offence which he knows or believes to have been committed is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;
 
 
and if the offence is punishable with 2[imprisonment for life], or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;
 
 
and if the offence is punishable with imprisonment for any term not extending to ten years, shall be punished with imprisonment of the description provided for the offence, for a term which may extend to one-fourth part of the longest term of the imprisonment provided for the offence, or with fine, or with both. "
,Intentional omission to give information of offence by person bound to inform,"Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. "
,Giving false information respecting an offence committed ,"Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Destruction of document to prevent its production as evidence ,"Whoever secrets or destroys any document which he may be lawfully compelled to produce as evidence in a Court of Justice, or in any proceeding lawfully held before a public servant, as such, or obliterates or renders illegible the whole or any part of such document with the intention of preventing the same from being produced or used as evidence before such Court or public servant as aforesaid, or after he shall have been lawfully summoned or required to produce the same for that purpose, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,False personation for purpose of act or proceeding in suit or prosecution ,"Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution ,"Whoever fraudulently removes, conceals, transfers or delivers to any person any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced, by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Fraudulent claim to property to prevent its seizure as forfeited or in execution ,"Whoever fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right or rightful claim to such property or interest, or practices any deception touching any right to any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,"Taking gift to help to recover stolen property, etc. ","Whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any moveable property of which he shall have been deprived by any offence punishable under this Code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. "
,Dishonestly making false claim in Court,"Whoever fraudulently or dishonestly, or with intent to injure or annoy any person, makes in a Court of Justice any claim which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine. "
,Punishment for undue influence or personation at an election ,"Whoever commits the offence of undue influence of personation at an election shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. "
,False statement in connection with an election ,"Whoever with intent to affect the result of an election makes or publishes any statement purporting to be a statement of fact which is false and which he either knows or believes to be or does not believe to be true, in relation to the personal character or conduct of any candidate shall be punished with fine. "
,Illegal payments in connection with an election ,"Whoever without the general or special authority in writing of a candidate incurs or authorises expenses on account of the holding of any public meeting, or upon any advertisement, circular or publication, or in any other way whatsoever for the purpose of promoting or procuring the election of such candidate, shall be punished with fine which may extend to five hundred taka:
 
 
Provided that if any person having incurred any such expenses not exceeding the amount of ten taka without authority obtains within ten days from the date on which such expenses were incurred the approval in writing of the candidate, he shall be deemed to have incurred such expenses with the authority of the candidate. "
,Failure to keep election accounts,Whoever being required by any law for the time being in force on any rule having the force of law to keep accounts of expenses incurred at or in connection with an election fails to keep such accounts shall be punished with fine which may extend to five hundred taka.]
,Punishment of bribery during election,"Whoever commits the offence of bribery shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both:
 
 
Provided that bribery by treating shall be punished with fine only. "
,Making or selling instrument for counterfeiting coin,"Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. "
,Making or selling instrument for counterfeiting Bangladesh coin ,"Whoever makes or mends, or performs any part of the process of making or mending or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting Bangladesh coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Possession of instrument or material for the purpose of using the same for counterfeiting coin; if Bangladesh coin ,"Whoever is in possession of any instrument or material, for the purpose of using the same for counterfeiting coin, or knowing or having reason to believe that the same is intended to be used for that purpose, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;
 
 
and if the coin to be counterfeited is Bangladesh coin, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Abetting in Bangladesh the counterfeiting out of Bangladesh of coin ,"Whoever, being within Bangladesh, abets the counterfeiting of coin out of Bangladesh shall be punished in the same manner as if he abetted the counterfeiting of such coin within Bangladesh. "
,Counterfeiting Bangladesh coin,"Whoever counterfeits, or knowingly performs any part of the process of counterfeiting Bangladesh coin, shall be punished with imprisonment for life, or with 2[imprisonment] of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Import or export of counterfeit coin ,"Whoever imports into Bangladesh, or exports therefrom, any counterfeit coin, knowingly or having reason to believe that the same is counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
,Fraudulently or dishonestly diminishing weight or altering composition of Bangladesh coin ,"Whoever fraudulently or dishonestly performs on any Bangladesh coin, any operation which diminishes the weight or alters the composition of that coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Counterfeiting Government stamp ,"Whoever counterfeits or knowingly performs any part of the process of counterfeiting, any stamp issued by Government for the purpose of revenue, shall be punished with 2[imprisonment] for life or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. "
,Having possession of counterfeit Government stamp ,"Whoever has in his possession any stamp which he knows to be a counterfeit of any stamp issued by Government for the purpose of revenue, intending to use, or dispose of the same as a genuine stamp, or in order that it may be used as a genuine stamp, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Making or selling instrument for counterfeiting Government stamp,"Whoever makes or performs any part of the process of making, or buys, or sells, or disposes of, any instrument for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,Adulteration of food or drink intended for sale,"Whoever adulterates any article of food or drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink, or knowing it to be likely that the same will be sold as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand taka, or with both."
,Punishment for theft ,"Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. "
,"Theft in dwelling-house, etc. ","Whoever commits theft in any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or use for the custody of property, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
,"Theft after preparation made for causing death, hurt or restraint, in order to the committing of the theft ","Whoever commits theft, having made preparation for causing death, or hurt, or restraint, or fear of death, or of hurt, or of restraint, to any person, in order to the committing of such theft, or in order to the effecting of his escape after the committing of such theft, or in order to the retaining of property taken by such theft, shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine."
,Theft by clerk or servant of property in possession of master,"Whoever being a clerk or servant, or being employed in the capacity of a clerk or servant, commits theft in respect of any property in the possession of his master or employer, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. "
